2026-05-22 10:27:49 | INFO     | src.utils.utils                | Logging initialized — level=DEBUG  file=logs\run_20260522_132749.log
2026-05-22 10:27:51 | INFO     | src.data.loader                | Starting live-month download: 2024-01-01 → 2024-01-31 (cutoff: 2024-01-31) | tickers: ['YPF', 'GGAL', 'BMA', 'PAM', 'TGS', 'CEPU', 'EDN', 'LOMA', 'CRESY', 'IRS']
2026-05-22 10:27:51 | DEBUG    | yfinance                       | Entering history()
2026-05-22 10:27:51 | DEBUG    | peewee                         | ('CREATE TABLE IF NOT EXISTS "_tz_kv" ("key" VARCHAR(255) NOT NULL PRIMARY KEY, "value" VARCHAR(255)) WITHOUT ROWID', [])
2026-05-22 10:27:51 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['YPF', 1, 0])
2026-05-22 10:27:52 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:52 | DEBUG    | yfinance                       | YPF: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:52 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:52 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:52 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/YPF
2026-05-22 10:27:52 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:52 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:52 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:52 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:52 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:52 | DEBUG    | yfinance                       |        Entering _load_cookie_curlCffi()
2026-05-22 10:27:52 | DEBUG    | peewee                         | ('CREATE TABLE IF NOT EXISTS "_cookieschema" ("strategy" VARCHAR(255) NOT NULL PRIMARY KEY, "fetch_date" DATETIME NOT NULL, "cookie_bytes" BLOB NOT NULL) WITHOUT ROWID', [])
2026-05-22 10:27:52 | DEBUG    | peewee                         | ('SELECT "t1"."strategy", "t1"."fetch_date", "t1"."cookie_bytes" FROM "_cookieschema" AS "t1" WHERE ("t1"."strategy" = ?) LIMIT ? OFFSET ?', ['curlCffi', 1, 0])
2026-05-22 10:27:52 | DEBUG    | yfinance                       |        Exiting _load_cookie_curlCffi()
2026-05-22 10:27:52 | DEBUG    | yfinance                       | reusing persistent cookie
2026-05-22 10:27:52 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:52 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:52 | DEBUG    | yfinance                       |        Entering _get_cookie_basic()
2026-05-22 10:27:52 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:52 | DEBUG    | yfinance                       |        Exiting _get_cookie_basic()
2026-05-22 10:27:53 | DEBUG    | yfinance                       | crumb = 'GKH2RckUanc'
2026-05-22 10:27:53 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
