month,regime,BMA,CEPU,CRESY,EDN,GGAL,IRS,LOMA,PAM,TGS,YPF
2025-01,risk_on,0.100465,0.086691,0.108389,0.110220,0.153036,0.099740,0.088450,0.112733,0.051433,0.088843
2025-02,risk_off,0.000000,0.000000,0.000000,0.244564,0.174921,0.000000,0.136128,0.100369,0.000000,0.344018
2025-03,risk_off,0.065002,0.047520,0.205158,0.051466,0.092499,0.140570,0.140958,0.075514,0.102724,0.078589
2025-04,risk_off,0.000000,0.000000,0.000000,0.000000,0.549498,0.000000,0.450502,0.000000,0.000000,0.000000
2025-05,risk_on,0.000000,0.065095,0.225053,0.000000,0.000000,0.283462,0.371064,0.000000,0.055326,0.000000
2025-06,risk_on,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2025-07,risk_on,0.000000,0.000000,0.000000,0.000000,0.000000,0.501383,0.064999,0.000000,0.433618,0.000000
2025-08,risk_off,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2025-09,risk_off,0.030074,0.092396,0.179869,0.038044,0.023016,0.152710,0.096970,0.155205,0.114608,0.117109
2025-10,risk_on,0.096341,0.127417,0.130919,0.084583,0.075124,0.109046,0.061045,0.112534,0.097232,0.105760
2025-11,risk_on,0.087224,0.123140,0.118405,0.103908,0.049839,0.105431,0.101289,0.126718,0.087264,0.096782
2025-12,risk_on,0.105098,0.133228,0.147732,0.041124,0.058143,0.133058,0.114783,0.099612,0.081918,0.085303
