mes,regimen,prob_svm,nlp_macro,activos_activos,YPF,GGAL,BMA,PAM,TGS,CEPU,EDN,LOMA,CRESY,IRS,YPF_delta,GGAL_delta,BMA_delta,PAM_delta,TGS_delta,CEPU_delta,EDN_delta,LOMA_delta,CRESY_delta,IRS_delta,ret_portfolio_%,ret_ew_bnh_%,diff_vs_ew_pp
2024-01,risk_off,0.431,-0.0211,5,0.0,18.95,17.96,0.0,0.0,30.31,18.06,0.0,0.0,14.72,0.0,18.95,17.96,0.0,0.0,30.31,18.06,0.0,0.0,14.72,—,—,—
2024-02,risk_on,0.973,0.034,10,11.68,9.9,14.69,8.46,7.37,13.33,7.39,8.98,7.23,10.96,11.68,-9.05,-3.27,8.46,7.37,-16.98,-10.67,8.98,7.23,-3.76,5.42,3.07,2.35
2024-03,risk_on,0.98,-0.0158,10,11.85,11.45,13.96,7.97,6.94,7.37,5.75,11.11,12.18,11.42,0.17,1.55,-0.73,-0.49,-0.43,-5.96,-1.64,2.13,4.95,0.46,13.87,12.74,1.13
2024-04,risk_on,0.971,0.0319,10,10.4,17.98,14.66,6.42,6.73,6.63,3.25,12.09,11.61,10.22,-1.45,6.53,0.7,-1.55,-0.21,-0.74,-2.5,0.98,-0.57,-1.2,10.06,10.09,-0.03
2024-05,risk_on,0.844,0.0036,10,9.61,14.71,13.83,9.9,9.77,6.35,2.4,11.18,10.69,11.56,-0.79,-3.27,-0.83,3.48,3.04,-0.28,-0.85,-0.91,-0.92,1.34,10.05,10.08,-0.03
2024-06,risk_on,0.996,-0.0075,6,15.11,18.99,19.88,0.0,20.47,16.73,0.0,0.0,0.0,8.83,5.5,4.28,6.05,-9.9,10.7,10.38,-2.4,-11.18,-10.69,-2.73,-11.14,-10.98,-0.15
2024-07,risk_on,0.979,0.0065,6,13.21,19.78,21.4,15.42,18.82,0.0,0.0,0.0,0.0,11.38,-1.9,0.79,1.52,15.42,-1.65,-16.73,0.0,0.0,0.0,2.55,-2.41,-2.52,0.1
2024-08,risk_on,0.98,0.0349,8,11.53,16.86,14.24,11.32,10.34,0.0,10.56,15.39,0.0,9.75,-1.68,-2.92,-7.16,-4.1,-8.48,0.0,10.56,15.39,0.0,-1.63,14.82,15.36,-0.55
2024-09,risk_on,0.955,0.0111,10,6.56,12.8,10.43,14.88,5.92,4.86,10.57,10.16,11.15,12.67,-4.97,-4.06,-3.81,3.56,-4.42,4.86,0.01,-5.23,11.15,2.92,10.82,10.86,-0.04
2024-10,risk_on,0.902,0.0379,10,5.64,12.54,8.36,16.33,9.3,7.46,13.64,8.18,8.79,9.78,-0.92,-0.26,-2.07,1.45,3.38,2.6,3.07,-1.98,-2.36,-2.89,13.87,14.2,-0.33
2024-11,risk_off,0.484,0.0091,5,16.11,0.0,0.0,21.98,0.0,0.0,28.06,0.0,12.64,21.22,10.47,-12.54,-8.36,5.65,-9.3,-7.46,14.42,-8.18,3.85,11.44,26.04,26.16,-0.13
2024-12,risk_on,0.683,0.0193,10,12.38,15.94,13.96,11.21,6.62,7.22,13.92,6.11,6.53,6.1,-3.73,15.94,13.96,-10.77,6.62,7.22,-14.14,6.11,-6.11,-15.12,-0.02,5.0,-5.01
2025-01,risk_on,0.981,0.0061,10,8.88,15.3,10.05,11.27,5.14,8.67,11.02,8.85,10.84,9.97,-3.5,-0.64,-3.91,0.06,-1.48,1.45,-2.9,2.74,4.31,3.87,-5.06,-0.06,-5.01
2025-02,risk_off,0.484,0.0576,5,34.4,17.49,0.0,10.04,0.0,0.0,24.46,13.61,0.0,0.0,25.52,2.19,-10.05,-1.23,-5.14,-8.67,13.44,4.76,-10.84,-9.97,-13.73,-13.73,-0.0
2025-03,risk_off,0.802,0.006,10,7.86,9.25,6.5,7.55,10.27,4.75,5.15,14.1,20.52,14.06,-26.54,-8.24,6.5,-2.49,10.27,4.75,-19.31,0.49,20.52,14.06,-14.41,-12.82,-1.59
2025-04,risk_off,0.666,0.0524,2,0.0,54.95,0.0,0.0,0.0,0.0,0.0,45.05,0.0,0.0,-7.86,45.7,-6.5,-7.55,-10.27,-4.75,-5.15,30.95,-20.52,-14.06,9.35,13.21,-3.86
2025-05,risk_on,0.997,0.0176,5,0.0,0.0,0.0,0.0,5.53,6.51,0.0,37.11,22.51,28.35,0.0,-54.95,0.0,0.0,5.53,6.51,0.0,-7.94,22.51,28.35,10.27,6.84,3.42
2025-06,risk_on,0.864,0.025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-5.53,-6.51,0.0,-37.11,-22.51,71.65,-7.07,-10.13,3.05
2025-07,risk_on,0.9,0.0088,3,0.0,0.0,0.0,0.0,43.36,0.0,0.0,6.5,0.0,50.14,0.0,0.0,0.0,0.0,43.36,0.0,0.0,6.5,0.0,-49.86,1.82,2.66,-0.84
2025-08,risk_off,0.965,0.0493,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-43.36,0.0,0.0,-6.5,0.0,49.86,-10.86,-13.51,2.66
2025-09,risk_off,0.556,0.0181,10,11.71,2.3,3.01,15.52,11.46,9.24,3.8,9.7,17.99,15.27,11.71,2.3,3.01,15.52,11.46,9.24,3.8,9.7,17.99,-84.73,-20.15,-21.7,1.55
2025-10,risk_on,0.761,0.0598,10,10.58,7.51,9.63,11.25,9.72,12.74,8.46,6.1,13.09,10.9,-1.13,5.21,6.62,-4.27,-1.74,3.5,4.66,-3.6,-4.9,-4.37,30.91,67.58,-36.66
2025-11,risk_on,0.716,0.0487,10,9.68,4.98,8.72,12.67,8.73,12.31,10.39,10.13,11.84,10.54,-0.9,-2.53,-0.91,1.42,-0.99,-0.43,1.93,4.03,-1.25,-0.36,1.81,0.01,1.8
2025-12,risk_on,0.705,0.0275,10,8.53,5.81,10.51,9.96,8.19,13.32,4.11,11.48,14.77,13.31,-1.15,0.83,1.79,-2.71,-0.54,1.01,-6.28,1.35,2.93,2.77,2.73,1.9,0.83
