,PGA_2024,PGA_2025,FCI_2024,FCI_2025,SPY_2024,SPY_2025,EEM_2024,EEM_2025
Total Return %,130.21,-22.05,111.81,-14.61,24.97,17.77,6.7,34.32
Ret. anualizado %,130.21,-22.05,111.81,-14.61,24.97,17.77,6.7,34.32
Ret. mensual promedio %,7.62,-1.2,7.24,0.49,1.92,1.42,0.58,2.52
Ret. mensual mediana %,10.06,-1.62,6.26,-2.14,2.17,2.33,1.26,2.16
Mejor mes,+26.04% (2024-11),+30.91% (2025-10),+29.79% (2024-11),+63.73% (2025-10),+5.96% (2024-11),+6.28% (2025-05),+5.74% (2024-09),+7.10% (2025-09)
Peor mes,-11.14% (2024-06),-20.15% (2025-09),-13.29% (2024-02),-19.39% (2025-09),-3.73% (2024-04),-5.86% (2025-03),-3.33% (2024-12),-1.77% (2025-11)
Meses pos/neg,8 pos / 3 neg / 1 neutro (ene-24),6 pos / 6 neg,9 pos / 3 neg,4 pos / 8 neg,9 pos / 3 neg,8 pos / 4 neg,7 pos / 5 neg,11 pos / 1 neg
Volatilidad anualizada %,34.09,48.33,46.88,76.39,10.45,11.1,10.43,8.74
Sharpe Ratio,2.681,-0.298,1.854,0.076,2.202,1.534,0.671,3.456
Max Drawdown %,-13.28,-40.04,-17.9,-47.64,-3.73,-7.58,-8.81,-1.77
Calmar Ratio,9.804,-0.551,6.245,-0.307,6.688,2.344,0.761,19.366
Beta vs benchmark,0.61,0.557,1.0,1.0,1.0,1.0,0.376,0.503
Correlacion vs benchmark,0.84,0.88,1.0,1.0,1.0,1.0,0.377,0.639
