mes,PGA_ret_%,PGA_acumulado,FCI_ret_%,FCI_acumulado
2024-01,0.0,1.0,3.605,1.03605
2024-02,5.42,1.0542,-13.2913,0.898345
2024-03,13.87,1.200418,22.8026,1.103192
2024-04,10.06,1.32118,10.5814,1.219925
2024-05,10.05,1.453958,7.6028,1.312673
2024-06,-11.14,1.291987,-9.0919,1.193326
2024-07,-2.41,1.26085,-9.6931,1.077656
2024-08,14.82,1.447708,21.7154,1.311673
2024-09,10.82,1.60435,4.9108,1.376087
2024-10,13.87,1.826874,13.6698,1.564195
2024-11,26.04,2.302592,29.7871,2.030124
2024-12,-0.02,2.302131,4.3332,2.118093
2025-01,-5.06,2.185643,-1.6109,2.083973
2025-02,-13.73,1.885554,-15.0767,1.769778
2025-03,-14.41,1.613846,-2.6713,1.722502
2025-04,9.35,1.764741,-4.1815,1.650476
2025-05,10.27,1.94598,8.1272,1.784613
2025-06,-7.07,1.808399,-12.8496,1.555298
2025-07,1.82,1.841312,7.585,1.673267
2025-08,-10.86,1.641345,-19.0989,1.353691
2025-09,-20.15,1.310614,-19.3856,1.09127
2025-10,30.91,1.715725,63.7257,1.78669
2025-11,1.81,1.74678,2.5097,1.83153
2025-12,2.73,1.794467,-1.2501,1.808634
